# Original file:
# IdnaMappingTable-5.2.0.txt- DRAFT
# Date: 2010-03-31 20:48:03 GMT [MD]
#
# Unicode IDNA Compatible Preprocessing (UTS #46)
# Copyright (c) 1991-2009 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see http://www.unicode.org/reports/tr46/

# ================================================
# This file has been reformatted into syntax for the
# gennorm2 Normalizer2 data generator tool.
# Reformatting via regular expressions:
#   s/; disallowed   />FFFD/
#   s/; ignored      />/
#   s/^([^;]+)  ; valid/# \1valid/
#   s/; mapped     ; />/
#   s/^([^;]+)  ; deviation/# \1deviation/
#   s/   +(\#  [^\#]+)$/  \1/
#
# Except: Disallowed ASCII characters are passed through;
# they are handled in code.
# Deviation characters are also handled in code.
#
# A circular mapping FFFD>FFFD is avoided by rewriting the line that contains
# ..FFFD to contain ..FFFC instead.
#
# Use this file as the second gennorm2 input file after nfc.txt.
# ================================================

# 0000..002C (allow ASCII)  #  <control-0000>..COMMA
# 002D..002E  valid  #  HYPHEN-MINUS..FULL STOP
# 002F       (allow ASCII)  #  SOLIDUS
# 0030..0039  valid  #  DIGIT ZERO..DIGIT NINE
# 003A..0040 (allow ASCII)  #  COLON..COMMERCIAL AT
# 023F..0240  valid  #  LATIN SMALL LETTER S WITH SWASH TAIL..LATIN SMALL LETTER Z WITH SWASH TAIL
0241          >0242  #  LATIN CAPITAL LETTER GLOTTAL STOP
# 0242        valid  #  LATIN SMALL LETTER GLOTTAL STOP
0243          >0180  #  LATIN CAPITAL LETTER B WITH STROKE
0244          >0289  #  LATIN CAPITAL LETTER U BAR
0245          >028C  #  LATIN CAPITAL LETTER TURNED V
0246          >0247  #  LATIN CAPITAL LETTER E WITH STROKE
# 0247        valid  #  LATIN SMALL LETTER E WITH STROKE
0248          >0249  #  LATIN CAPITAL LETTER J WITH STROKE
# 0249        valid  #  LATIN SMALL LETTER J WITH STROKE
024A          >024B  #  LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL
# 024B        valid  #  LATIN SMALL LETTER Q WITH HOOK TAIL
024C          >024D  #  LATIN CAPITAL LETTER R WITH STROKE
# 024D        valid  #  LATIN SMALL LETTER R WITH STROKE
024E          >024F  #  LATIN CAPITAL LETTER Y WITH STROKE
# 024F..02AF  valid  #  LATIN SMALL LETTER Y WITH STROKE..LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL
02B0          >0068  #  MODIFIER LETTER SMALL H
02B1          >0266  #  MODIFIER LETTER SMALL H WITH HOOK
02B2          >006A  #  MODIFIER LETTER SMALL J
02B3          >0072  #  MODIFIER LETTER SMALL R
02B4          >0279  #  MODIFIER LETTER SMALL TURNED R
02B5          >027B  #  MODIFIER LETTER SMALL TURNED R WITH HOOK
02B6          >0281  #  MODIFIER LETTER SMALL CAPITAL INVERTED R
02B7          >0077  #  MODIFIER LETTER SMALL W
02B8          >0079  #  MODIFIER LETTER SMALL Y
# 02B9..02D7  valid  #  MODIFIER LETTER PRIME..MODIFIER LETTER MINUS SIGN
02D8..02DD    >FFFD  #  BREVE..DOUBLE ACUTE ACCENT
# 02DE..02DF  valid  #  MODIFIER LETTER RHOTIC HOOK..MODIFIER LETTER CROSS ACCENT
02E0          >0263  #  MODIFIER LETTER SMALL GAMMA
02E1          >006C  #  MODIFIER LETTER SMALL L
02E2          >0073  #  MODIFIER LETTER SMALL S
02E3          >0078  #  MODIFIER LETTER SMALL X
02E4          >0295  #  MODIFIER LETTER SMALL REVERSED GLOTTAL STOP
# 02E5..033F  valid  #  MODIFIER LETTER EXTRA-HIGH TONE BAR..COMBINING DOUBLE OVERLINE
0340          >0300  #  COMBINING GRAVE TONE MARK
0341          >0301  #  COMBINING ACUTE TONE MARK
# 0342        valid  #  COMBINING GREEK PERISPOMENI
0343          >0313  #  COMBINING GREEK KORONIS
0344          >0308 0301  #  COMBINING GREEK DIALYTIKA TONOS
0345          >03B9  #  COMBINING GREEK YPOGEGRAMMENI
# 0346..034E  valid  #  COMBINING BRIDGE ABOVE..COMBINING UPWARDS ARROW BELOW
034F          >  #  COMBINING GRAPHEME JOINER
# 0350..036F  valid  #  COMBINING RIGHT ARROWHEAD ABOVE..COMBINING LATIN SMALL LETTER X
0370          >0371  #  GREEK CAPITAL LETTER HETA
# 0371        valid  #  GREEK SMALL LETTER HETA
0372          >0373  #  GREEK CAPITAL LETTER ARCHAIC SAMPI
# 0373        valid  #  GREEK SMALL LETTER ARCHAIC SAMPI
0374          >02B9  #  GREEK NUMERAL SIGN
# 0375        valid  #  GREEK LOWER NUMERAL SIGN
0376          >0377  #  GREEK CAPITAL LETTER PAMPHYLIAN DIGAMMA
# 0377        valid  #  GREEK SMALL LETTER PAMPHYLIAN DIGAMMA
0378..0379    >FFFD  #  <reserved-0378>..<reserved-0379>
037A          >FFFD  #  GREEK YPOGEGRAMMENI
# 037B..037D  valid  #  GREEK SMALL REVERSED LUNATE SIGMA SYMBOL..GREEK SMALL REVERSED DOTTED LUNATE SIGMA SYMBOL
037E          >FFFD  #  GREEK QUESTION MARK
037F..0383    >FFFD  #  <reserved-037F>..<reserved-0383>
0384..0385    >FFFD  #  GREEK TONOS..GREEK DIALYTIKA TONOS
0386          >03AC  #  GREEK CAPITAL LETTER ALPHA WITH TONOS
0387          >00B7  #  GREEK ANO TELEIA
0388          >03AD  #  GREEK CAPITAL LETTER EPSILON WITH TONOS
0389          >03AE  #  GREEK CAPITAL LETTER ETA WITH TONOS
038A          >03AF  #  GREEK CAPITAL LETTER IOTA WITH TONOS
038B          >FFFD  #  <reserved-038B>
038C          >03CC  #  GREEK CAPITAL LETTER OMICRON WITH TONOS
038D          >FFFD  #  <reserved-038D>
038E          >03CD  #  GREEK CAPITAL LETTER UPSILON WITH TONOS
038F          >03CE  #  GREEK CAPITAL LETTER OMEGA WITH TONOS
# 0390        valid  #  GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS
0391          >03B1  #  GREEK CAPITAL LETTER ALPHA
0392          >03B2  #  GREEK CAPITAL LETTER BETA
0393          >03B3  #  GREEK CAPITAL LETTER GAMMA
0394          >03B4  #  GREEK CAPITAL LETTER DELTA
0395          >03B5  #  GREEK CAPITAL LETTER EPSILON
0396          >03B6  #  GREEK CAPITAL LETTER ZETA
0397          >03B7  #  GREEK CAPITAL LETTER ETA
0398          >03B8  #  GREEK CAPITAL LETTER THETA
0399          >03B9  #  GREEK CAPITAL LETTER IOTA
039A          >03BA  #  GREEK CAPITAL LETTER KAPPA
039B          >03BB  #  GREEK CAPITAL LETTER LAMDA
039C          >03BC  #  GREEK CAPITAL LETTER MU
039D          >03BD  #  GREEK CAPITAL LETTER NU
039E          >03BE  #  GREEK CAPITAL LETTER XI
039F          >03BF  #  GREEK CAPITAL LETTER OMICRON
03A0          >03C0  #  GREEK CAPITAL LETTER PI
03A1          >03C1  #  GREEK CAPITAL LETTER RHO
03A2          >FFFD  #  <reserved-03A2>
03A3          >03C3  #  GREEK CAPITAL LETTER SIGMA
03A4          >03C4  #  GREEK CAPITAL LETTER TAU
03A5          >03C5  #  GREEK CAPITAL LETTER UPSILON
03A6          >03C6  #  GREEK CAPITAL LETTER PHI
03A7          >03C7  #  GREEK CAPITAL LETTER CHI
03A8          >03C8  #  GREEK CAPITAL LETTER PSI
03A9          >03C9  #  GREEK CAPITAL LETTER OMEGA
03AA          >03CA  #  GREEK CAPITAL LETTER IOTA WITH DIALYTIKA
03AB          >03CB  #  GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
# 03AC..03C1  valid  #  GREEK SMALL LETTER ALPHA WITH TONOS..GREEK SMALL LETTER RHO
# 03C2        deviation  ; 03C3  #  GREEK SMALL LETTER FINAL SIGMA
# 03C3..03CE  valid  #  GREEK SMALL LETTER SIGMA..GREEK SMALL LETTER OMEGA WITH TONOS
03CF          >03D7  #  GREEK CAPITAL KAI SYMBOL
03D0          >03B2  #  GREEK BETA SYMBOL
03D1          >03B8  #  GREEK THETA SYMBOL
03D2          >03C5  #  GREEK UPSILON WITH HOOK SYMBOL
03D3          >03CD  #  GREEK UPSILON WITH ACUTE AND HOOK SYMBOL
03D4          >03CB  #  GREEK UPSILON WITH DIAERESIS AND HOOK SYMBOL
03D5          >03C6  #  GREEK PHI SYMBOL
03D6          >03C0  #  GREEK PI SYMBOL
# 03D7        valid  #  GREEK KAI SYMBOL
03D8          >03D9  #  GREEK LETTER ARCHAIC KOPPA
# 03D9        valid  #  GREEK SMALL LETTER ARCHAIC KOPPA
03DA          >03DB  #  GREEK LETTER STIGMA
# 03DB        valid  #  GREEK SMALL LETTER STIGMA
03DC          >03DD  #  GREEK LETTER DIGAMMA
# 03DD        valid  #  GREEK SMALL LETTER DIGAMMA
03DE          >03DF  #  GREEK LETTER KOPPA
# 03DF        valid  #  GREEK SMALL LETTER KOPPA
03E0          >03E1  #  GREEK LETTER SAMPI
# 03E1        valid  #  GREEK SMALL LETTER SAMPI
03E2          >03E3  #  COPTIC CAPITAL LETTER SHEI
# 03E3        valid  #  COPTIC SMALL LETTER SHEI
03E4          >03E5  #  COPTIC CAPITAL LETTER FEI
# 03E5        valid  #  COPTIC SMALL LETTER FEI
03E6          >03E7  #  COPTIC CAPITAL LETTER KHEI
# 03E7        valid  #  COPTIC SMALL LETTER KHEI
03E8          >03E9  #  COPTIC CAPITAL LETTER HORI
# 03E9        valid  #  COPTIC SMALL LETTER HORI
03EA          >03EB  #  COPTIC CAPITAL LETTER GANGIA
# 03EB        valid  #  COPTIC SMALL LETTER GANGIA
03EC          >03ED  #  COPTIC CAPITAL LETTER SHIMA
# 03ED        valid  #  COPTIC SMALL LETTER SHIMA
03EE          >03EF  #  COPTIC CAPITAL LETTER DEI
# 03EF        valid  #  COPTIC SMALL LETTER DEI
03F0          >03BA  #  GREEK KAPPA SYMBOL
03F1          >03C1  #  GREEK RHO SYMBOL
03F2          >03C3  #  GREEK LUNATE SIGMA SYMBOL
# 03F3        valid  #  GREEK LETTER YOT
03F4          >03B8  #  GREEK CAPITAL THETA SYMBOL
03F5          >03B5  #  GREEK LUNATE EPSILON SYMBOL
# 03F6        valid  #  GREEK REVERSED LUNATE EPSILON SYMBOL
03F7          >03F8  #  GREEK CAPITAL LETTER SHO
# 03F8        valid  #  GREEK SMALL LETTER SHO
03F9          >03C3  #  GREEK CAPITAL LUNATE SIGMA SYMBOL
03FA          >03FB  #  GREEK CAPITAL LETTER SAN
# 03FB..03FC  valid  #  GREEK SMALL LETTER SAN..GREEK RHO WITH STROKE SYMBOL
03FD          >037B  #  GREEK CAPITAL REVERSED LUNATE SIGMA SYMBOL
03FE          >037C  #  GREEK CAPITAL DOTTED LUNATE SIGMA SYMBOL
03FF          >037D  #  GREEK CAPITAL REVERSED DOTTED LUNATE SIGMA SYMBOL
0400          >0450  #  CYRILLIC CAPITAL LETTER IE WITH GRAVE
0401          >0451  #  CYRILLIC CAPITAL LETTER IO
0402          >0452  #  CYRILLIC CAPITAL LETTER DJE
0403          >0453  #  CYRILLIC CAPITAL LETTER GJE
0404          >0454  #  CYRILLIC CAPITAL LETTER UKRAINIAN IE
0405          >0455  #  CYRILLIC CAPITAL LETTER DZE
0406          >0456  #  CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
0407          >0457  #  CYRILLIC CAPITAL LETTER YI
0408          >0458  #  CYRILLIC CAPITAL LETTER JE
0409          >0459  #  CYRILLIC CAPITAL LETTER LJE
040A          >045A  #  CYRILLIC CAPITAL LETTER NJE
040B          >045B  #  CYRILLIC CAPITAL LETTER TSHE
040C          >045C  #  CYRILLIC CAPITAL LETTER KJE
040D          >045D  #  CYRILLIC CAPITAL LETTER I WITH GRAVE
040E          >045E  #  CYRILLIC CAPITAL LETTER SHORT U
040F          >045F  #  CYRILLIC CAPITAL LETTER DZHE
0410          >0430  #  CYRILLIC CAPITAL LETTER A
0411          >0431  #  CYRILLIC CAPITAL LETTER BE
0412          >0432  #  CYRILLIC CAPITAL LETTER VE
0413          >0433  #  CYRILLIC CAPITAL LETTER GHE
0414          >0434  #  CYRILLIC CAPITAL LETTER DE
0415          >0435  #  CYRILLIC CAPITAL LETTER IE
0416          >0436  #  CYRILLIC CAPITAL LETTER ZHE
0417          >0437  #  CYRILLIC CAPITAL LETTER ZE
0418          >0438  #  CYRILLIC CAPITAL LETTER I
0419          >0439  #  CYRILLIC CAPITAL LETTER SHORT I
041A          >043A  #  CYRILLIC CAPITAL LETTER KA
041B          >043B  #  CYRILLIC CAPITAL LETTER EL
041C          >043C  #  CYRILLIC CAPITAL LETTER EM
041D          >043D  #  CYRILLIC CAPITAL LETTER EN
041E          >043E  #  CYRILLIC CAPITAL LETTER O
041F          >043F  #  CYRILLIC CAPITAL LETTER PE
0420          >0440  #  CYRILLIC CAPITAL LETTER ER
0421          >0441  #  CYRILLIC CAPITAL LETTER ES
0422          >0442  #  CYRILLIC CAPITAL LETTER TE
0423          >0443  #  CYRILLIC CAPITAL LETTER U
0424          >0444  #  CYRILLIC CAPITAL LETTER EF
0425          >0445  #  CYRILLIC CAPITAL LETTER HA
0426          >0446  #  CYRILLIC CAPITAL LETTER TSE
0427          >0447  #  CYRILLIC CAPITAL LETTER CHE
0428          >0448  #  CYRILLIC CAPITAL LETTER SHA
0429          >0449  #  CYRILLIC CAPITAL LETTER SHCHA
042A          >044A  #  CYRILLIC CAPITAL LETTER HARD SIGN
042B          >044B  #  CYRILLIC CAPITAL LETTER YERU
042C          >044C  #  CYRILLIC CAPITAL LETTER SOFT SIGN
042D          >044D  #  CYRILLIC CAPITAL LETTER E
042E          >044E  #  CYRILLIC CAPITAL LETTER YU
042F          >044F  #  CYRILLIC CAPITAL LETTER YA
# 0430..045F  valid  #  CYRILLIC SMALL LETTER A..CYRILLIC SMALL LETTER DZHE
0460          >0461  #  CYRILLIC CAPITAL LETTER OMEGA
# 0461        valid  #  CYRILLIC SMALL LETTER OMEGA
0462          >0463  #  CYRILLIC CAPITAL LETTER YAT
# 0463        valid  #  CYRILLIC SMALL LETTER YAT
0464          >0465  #  CYRILLIC CAPITAL LETTER IOTIFIED E
# 0465        valid  #  CYRILLIC SMALL LETTER IOTIFIED E
0466          >0467  #  CYRILLIC CAPITAL LETTER LITTLE YUS
# 0467        valid  #  CYRILLIC SMALL LETTER LITTLE YUS
0468          >0469  #  CYRILLIC CAPITAL LETTER IOTIFIED LITTLE YUS
# 0469        valid  #  CYRILLIC SMALL LETTER IOTIFIED LITTLE YUS
046A          >046B  #  CYRILLIC CAPITAL LETTER BIG YUS
# 046B        valid  #  CYRILLIC SMALL LETTER BIG YUS
046C          >046D  #  CYRILLIC CAPITAL LETTER IOTIFIED BIG YUS
# 046D        valid  #  CYRILLIC SMALL LETTER IOTIFIED BIG YUS
046E          >046F  #  CYRILLIC CAPITAL LETTER KSI
# 046F        valid  #  CYRILLIC SMALL LETTER KSI
0470          >0471  #  CYRILLIC CAPITAL LETTER PSI
# 0471        valid  #  CYRILLIC SMALL LETTER PSI
0472          >0473  #  CYRILLIC CAPITAL LETTER FITA
# 0473        valid  #  CYRILLIC SMALL LETTER FITA
0474          >0475  #  CYRILLIC CAPITAL LETTER IZHITSA
# 0475        valid  #  CYRILLIC SMALL LETTER IZHITSA
0476          >0477  #  CYRILLIC CAPITAL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
# 0477        valid  #  CYRILLIC SMALL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
0478          >0479  #  CYRILLIC CAPITAL LETTER UK
# 0479        valid  #  CYRILLIC SMALL LETTER UK
047A          >047B  #  CYRILLIC CAPITAL LETTER ROUND OMEGA
# 047B        valid  #  CYRILLIC SMALL LETTER ROUND OMEGA
047C          >047D  #  CYRILLIC CAPITAL LETTER OMEGA WITH TITLO
# 047D        valid  #  CYRILLIC SMALL LETTER OMEGA WITH TITLO
047E          >047F  #  CYRILLIC CAPITAL LETTER OT
# 047F        valid  #  CYRILLIC SMALL LETTER OT
0480          >0481  #  CYRILLIC CAPITAL LETTER KOPPA
# 0481..0489  valid  #  CYRILLIC SMALL LETTER KOPPA..COMBINING CYRILLIC MILLIONS SIGN
048A          >048B  #  CYRILLIC CAPITAL LETTER SHORT I WITH TAIL
# 048B        valid  #  CYRILLIC SMALL LETTER SHORT I WITH TAIL
048C          >048D  #  CYRILLIC CAPITAL LETTER SEMISOFT SIGN
# 048D        valid  #  CYRILLIC SMALL LETTER SEMISOFT SIGN
048E          >048F  #  CYRILLIC CAPITAL LETTER ER WITH TICK
# 048F        valid  #  CYRILLIC SMALL LETTER ER WITH TICK
0490          >0491  #  CYRILLIC CAPITAL LETTER GHE WITH UPTURN
# 0491        valid  #  CYRILLIC SMALL LETTER GHE WITH UPTURN
0492          >0493  #  CYRILLIC CAPITAL LETTER GHE WITH STROKE
# 0493        valid  #  CYRILLIC SMALL LETTER GHE WITH STROKE
0494          >0495  #  CYRILLIC CAPITAL LETTER GHE WITH MIDDLE HOOK
# 0495        valid  #  CYRILLIC SMALL LETTER GHE WITH MIDDLE HOOK
0496          >0497  #  CYRILLIC CAPITAL LETTER ZHE WITH DESCENDER
# 0497        valid  #  CYRILLIC SMALL LETTER ZHE WITH DESCENDER
0498          >0499  #  CYRILLIC CAPITAL LETTER ZE WITH DESCENDER
# 0499        valid  #  CYRILLIC SMALL LETTER ZE WITH DESCENDER
049A          >049B  #  CYRILLIC CAPITAL LETTER KA WITH DESCENDER
# 049B        valid  #  CYRILLIC SMALL LETTER KA WITH DESCENDER
049C          >049D  #  CYRILLIC CAPITAL LETTER KA WITH VERTICAL STROKE
# 049D        valid  #  CYRILLIC SMALL LETTER KA WITH VERTICAL STROKE
049E          >049F  #  CYRILLIC CAPITAL LETTER KA WITH STROKE
# 049F        valid  #  CYRILLIC SMALL LETTER KA WITH STROKE
04A0          >04A1  #  CYRILLIC CAPITAL LETTER BASHKIR KA
# 04A1        valid  #  CYRILLIC SMALL LETTER BASHKIR KA
04A2          >04A3  #  CYRILLIC CAPITAL LETTER EN WITH DESCENDER
# 04A3        valid  #  CYRILLIC SMALL LETTER EN WITH DESCENDER
04A4          >04A5  #  CYRILLIC CAPITAL LIGATURE EN GHE
# 04A5        valid  #  CYRILLIC SMALL LIGATURE EN GHE
04A6          >04A7  #  CYRILLIC CAPITAL LETTER PE WITH MIDDLE HOOK
# 04A7        valid  #  CYRILLIC SMALL LETTER PE WITH MIDDLE HOOK
04A8          >04A9  #  CYRILLIC CAPITAL LETTER ABKHASIAN HA
# 04A9        valid  #  CYRILLIC SMALL LETTER ABKHASIAN HA
04AA          >04AB  #  CYRILLIC CAPITAL LETTER ES WITH DESCENDER
# 04AB        valid  #  CYRILLIC SMALL LETTER ES WITH DESCENDER
04AC          >04AD  #  CYRILLIC CAPITAL LETTER TE WITH DESCENDER
# 04AD        valid  #  CYRILLIC SMALL LETTER TE WITH DESCENDER
04AE          >04AF  #  CYRILLIC CAPITAL LETTER STRAIGHT U
# 04AF        valid  #  CYRILLIC SMALL LETTER STRAIGHT U
04B0          >04B1  #  CYRILLIC CAPITAL LETTER STRAIGHT U WITH STROKE
# 04B1        valid  #  CYRILLIC SMALL LETTER STRAIGHT U WITH STROKE
04B2          >04B3  #  CYRILLIC CAPITAL LETTER HA WITH DESCENDER
# 04B3        valid  #  CYRILLIC SMALL LETTER HA WITH DESCENDER
04B4          >04B5  #  CYRILLIC CAPITAL LIGATURE TE TSE
# 04B5        valid  #  CYRILLIC SMALL LIGATURE TE TSE
04B6          >04B7  #  CYRILLIC CAPITAL LETTER CHE WITH DESCENDER
# 04B7        valid  #  CYRILLIC SMALL LETTER CHE WITH DESCENDER
04B8          >04B9  #  CYRILLIC CAPITAL LETTER CHE WITH VERTICAL STROKE
# 04B9        valid  #  CYRILLIC SMALL LETTER CHE WITH VERTICAL STROKE
04BA          >04BB  #  CYRILLIC CAPITAL LETTER SHHA
# 04BB        valid  #  CYRILLIC SMALL LETTER SHHA
04BC          >04BD  #  CYRILLIC CAPITAL LETTER ABKHASIAN CHE
# 04BD        valid  #  CYRILLIC SMALL LETTER ABKHASIAN CHE
04BE          >04BF  #  CYRILLIC CAPITAL LETTER ABKHASIAN CHE WITH DESCENDER
# 04BF        valid  #  CYRILLIC SMALL LETTER ABKHASIAN CHE WITH DESCENDER
04C0          >FFFD  #  CYRILLIC LETTER PALOCHKA
04C1          >04C2  #  CYRILLIC CAPITAL LETTER ZHE WITH BREVE
# 04C2        valid  #  CYRILLIC SMALL LETTER ZHE WITH BREVE
04C3          >04C4  #  CYRILLIC CAPITAL LETTER KA WITH HOOK
# 04C4        valid  #  CYRILLIC SMALL LETTER KA WITH HOOK
04C5          >04C6  #  CYRILLIC CAPITAL LETTER EL WITH TAIL
# 04C6        valid  #  CYRILLIC SMALL LETTER EL WITH TAIL
04C7          >04C8  #  CYRILLIC CAPITAL LETTER EN WITH HOOK
# 04C8        valid  #  CYRILLIC SMALL LETTER EN WITH HOOK
04C9          >04CA  #  CYRILLIC CAPITAL LETTER EN WITH TAIL
# 04CA        valid  #  CYRILLIC SMALL LETTER EN WITH TAIL
04CB          >04CC  #  CYRILLIC CAPITAL LETTER KHAKASSIAN CHE
# 04CC        valid  #  CYRILLIC SMALL LETTER KHAKASSIAN CHE
04CD          >04CE  #  CYRILLIC CAPITAL LETTER EM WITH TAIL
# 04CE..04CF  valid  #  CYRILLIC SMALL LETTER EM WITH TAIL..CYRILLIC SMALL LETTER PALOCHKA
04D0          >04D1  #  CYRILLIC CAPITAL LETTER A WITH BREVE
# 04D1        valid  #  CYRILLIC SMALL LETTER A WITH BREVE
04D2          >04D3  #  CYRILLIC CAPITAL LETTER A WITH DIAERESIS
# 04D3        valid  #  CYRILLIC SMALL LETTER A WITH DIAERESIS
04D4          >04D5  #  CYRILLIC CAPITAL LIGATURE A IE
# 04D5        valid  #  CYRILLIC SMALL LIGATURE A IE
04D6          >04D7  #  CYRILLIC CAPITAL LETTER IE WITH BREVE
# 04D7        valid  #  CYRILLIC SMALL LETTER IE WITH BREVE
04D8          >04D9  #  CYRILLIC CAPITAL LETTER SCHWA
# 04D9        valid  #  CYRILLIC SMALL LETTER SCHWA
04DA          >04DB  #  CYRILLIC CAPITAL LETTER SCHWA WITH DIAERESIS
# 04DB        valid  #  CYRILLIC SMALL LETTER SCHWA WITH DIAERESIS
04DC          >04DD  #  CYRILLIC CAPITAL LETTER ZHE WITH DIAERESIS
# 04DD        valid  #  CYRILLIC SMALL LETTER ZHE WITH DIAERESIS
04DE          >04DF  #  CYRILLIC CAPITAL LETTER ZE WITH DIAERESIS
# 04DF        valid  #  CYRILLIC SMALL LETTER ZE WITH DIAERESIS
04E0          >04E1  #  CYRILLIC CAPITAL LETTER ABKHASIAN DZE
# 04E1        valid  #  CYRILLIC SMALL LETTER ABKHASIAN DZE
04E2          >04E3  #  CYRILLIC CAPITAL LETTER I WITH MACRON
# 04E3        valid  #  CYRILLIC SMALL LETTER I WITH MACRON
04E4          >04E5  #  CYRILLIC CAPITAL LETTER I WITH DIAERESIS
# 04E5        valid  #  CYRILLIC SMALL LETTER I WITH DIAERESIS
04E6          >04E7  #  CYRILLIC CAPITAL LETTER O WITH DIAERESIS
# 04E7        valid  #  CYRILLIC SMALL LETTER O WITH DIAERESIS
04E8          >04E9  #  CYRILLIC CAPITAL LETTER BARRED O
# 04E9        valid  #  CYRILLIC SMALL LETTER BARRED O
04EA          >04EB  #  CYRILLIC CAPITAL LETTER BARRED O WITH DIAERESIS
# 04EB        valid  #  CYRILLIC SMALL LETTER BARRED O WITH DIAERESIS
04EC          >04ED  #  CYRILLIC CAPITAL LETTER E WITH DIAERESIS
# 04ED        valid  #  CYRILLIC SMALL LETTER E WITH DIAERESIS
04EE          >04EF  #  CYRILLIC CAPITAL LETTER U WITH MACRON
# 04EF        valid  #  CYRILLIC SMALL LETTER U WITH MACRON
04F0          >04F1  #  CYRILLIC CAPITAL LETTER U WITH DIAERESIS
# 04F1        valid  #  CYRILLIC SMALL LETTER U WITH DIAERESIS
04F2          >04F3  #  CYRILLIC CAPITAL LETTER U WITH DOUBLE ACUTE
# 04F3        valid  #  CYRILLIC SMALL LETTER U WITH DOUBLE ACUTE
04F4          >04F5  #  CYRILLIC CAPITAL LETTER CHE WITH DIAERESIS
# 04F5        valid  #  CYRILLIC SMALL LETTER CHE WITH DIAERESIS
04F6          >04F7  #  CYRILLIC CAPITAL LETTER GHE WITH DESCENDER
# 04F7        valid  #  CYRILLIC SMALL LETTER GHE WITH DESCENDER
04F8          >04F9  #  CYRILLIC CAPITAL LETTER YERU WITH DIAERESIS
# 04F9        valid  #  CYRILLIC SMALL LETTER YERU WITH DIAERESIS
04FA          >04FB  #  CYRILLIC CAPITAL LETTER GHE WITH STROKE AND HOOK
# 04FB        valid  #  CYRILLIC SMALL LETTER GHE WITH STROKE AND HOOK
04FC          >04FD  #  CYRILLIC CAPITAL LETTER HA WITH HOOK
# 04FD        valid  #  CYRILLIC SMALL LETTER HA WITH HOOK
04FE          >04FF  #  CYRILLIC CAPITAL LETTER HA WITH STROKE
# 04FF        valid  #  CYRILLIC SMALL LETTER HA WITH STROKE
0500          >0501  #  CYRILLIC CAPITAL LETTER KOMI DE
# 0501        valid  #  CYRILLIC SMALL LETTER KOMI DE
0502          >0503  #  CYRILLIC CAPITAL LETTER KOMI DJE
# 0503        valid  #  CYRILLIC SMALL LETTER KOMI DJE
0504          >0505  #  CYRILLIC CAPITAL LETTER KOMI ZJE
# 0505        valid  #  CYRILLIC SMALL LETTER KOMI ZJE
0506          >0507  #  CYRILLIC CAPITAL LETTER KOMI DZJE
# 0507        valid  #  CYRILLIC SMALL LETTER KOMI DZJE
0508          >0509  #  CYRILLIC CAPITAL LETTER KOMI LJE
# 0509        valid  #  CYRILLIC SMALL LETTER KOMI LJE
050A          >050B  #  CYRILLIC CAPITAL LETTER KOMI NJE
# 050B        valid  #  CYRILLIC SMALL LETTER KOMI NJE
050C          >050D  #  CYRILLIC CAPITAL LETTER KOMI SJE
# 050D        valid  #  CYRILLIC SMALL LETTER KOMI SJE
050E          >050F  #  CYRILLIC CAPITAL LETTER KOMI TJE
# 050F        valid  #  CYRILLIC SMALL LETTER KOMI TJE
0510          >0511  #  CYRILLIC CAPITAL LETTER REVERSED ZE
# 0511        valid  #  CYRILLIC SMALL LETTER REVERSED ZE
0512          >0513  #  CYRILLIC CAPITAL LETTER EL WITH HOOK
# 0513        valid  #  CYRILLIC SMALL LETTER EL WITH HOOK
0514          >0515  #  CYRILLIC CAPITAL LETTER LHA
# 0515        valid  #  CYRILLIC SMALL LETTER LHA
0516          >0517  #  CYRILLIC CAPITAL LETTER RHA
# 0517        valid  #  CYRILLIC SMALL LETTER RHA
0518          >0519  #  CYRILLIC CAPITAL LETTER YAE
# 0519        valid  #  CYRILLIC SMALL LETTER YAE
051A          >051B  #  CYRILLIC CAPITAL LETTER QA
# 051B        valid  #  CYRILLIC SMALL LETTER QA
051C          >051D  #  CYRILLIC CAPITAL LETTER WE
# 051D        valid  #  CYRILLIC SMALL LETTER WE
051E          >051F  #  CYRILLIC CAPITAL LETTER ALEUT KA
# 051F        valid  #  CYRILLIC SMALL LETTER ALEUT KA
0520          >0521  #  CYRILLIC CAPITAL LETTER EL WITH MIDDLE HOOK
# 0521        valid  #  CYRILLIC SMALL LETTER EL WITH MIDDLE HOOK
0522          >0523  #  CYRILLIC CAPITAL LETTER EN WITH MIDDLE HOOK
# 0523        valid  #  CYRILLIC SMALL LETTER EN WITH MIDDLE HOOK
0524          >0525  #  CYRILLIC CAPITAL LETTER PE WITH DESCENDER
# 0525        valid  #  CYRILLIC SMALL LETTER PE WITH DESCENDER
0526..0530    >FFFD  #  <reserved-0526>..<reserved-0530>
